ID,diffuse,compact,merger,off_center,nearby,irregular,problematic,comment
466002,0,0,1,1,1,0,0,Not sure which one is the one
466005,0,1,0,0,0,0,0,
466009,0,0,1,0,1,1,0,
466011,0,0,1,0,0,0,0,
466017,0,1,0,0,0,0,0,
466021,0,1,1,0,0,0,0,
466024,1,0,0,1,0,0,0,
466025,0,0,0,0,1,0,0,
466026,0,1,0,0,0,0,0,
466027,0,1,0,0,0,0,0,
466028,0,0,0,0,0,0,1,No obvious counterpart
466034,1,1,0,0,0,0,0,
466042,1,0,0,0,0,0,0,
466043,0,1,0,0,0,0,0,multiple source not sure which one
466047,0,1,0,0,1,0,0,
466049,0,0,0,0,0,0,1,
466050,1,0,1,0,0,0,0,
466056,0,0,1,0,0,0,0,
466058,0,0,1,0,1,0,0,
466059,0,1,0,0,1,0,0,
466060,0,0,0,0,0,0,1,Not sure which one
466063,0,0,0,0,0,0,1,No source
466065,0,1,1,0,0,0,0,
466067,0,1,1,0,0,0,0,
466068,0,0,0,1,0,0,0,Not sure which one
466069,0,1,1,0,1,0,0,
466070,1,1,0,0,1,0,0,
466075,0,0,0,0,1,0,0,
466076,0,0,1,0,0,1,0,
466077,0,0,0,0,0,0,0,elongated clumpy
466078,0,0,1,0,1,0,0,
466082,0,1,0,0,1,0,0,
466084,0,1,0,0,0,0,0,
466086,0,0,1,0,0,0,0,
466088,0,0,0,0,1,0,0,
466090,0,0,0,1,1,0,0,
466092,0,0,0,0,0,0,1,no obvious source
466095,0,1,0,0,1,0,0,
466096,0,0,0,0,1,0,0,
466097,0,0,0,0,1,0,0,
466105,0,0,1,0,1,1,0,
466108,0,0,0,0,0,0,0,no obvious source
466109,0,0,0,0,0,0,0,point-like source (x-ray? star?)
466110,1,1,0,1,0,0,0,
466112,0,1,0,0,0,0,0,
466114,0,1,0,0,0,0,0,
466116,0,0,0,0,1,0,0,
466117,0,1,0,1,0,0,0,
466118,0,0,0,0,0,0,0,
466122,0,0,0,0,0,0,0,
466123,0,1,0,1,0,0,0,multiple source not sure which one
466126,0,1,0,0,1,0,0,
466128,0,0,0,0,1,0,0,
466131,0,0,1,0,1,1,0,
466132,0,0,1,0,0,0,0,
466134,0,0,1,0,1,0,0,
466136,0,0,0,0,0,0,1,not sure which one
466137,0,0,1,0,0,0,0,
466140,0,1,0,0,0,0,0,
466143,0,1,0,0,0,0,0,
466145,1,0,0,0,0,0,1,
466146,0,0,0,0,1,0,0,
466154,0,0,0,0,0,0,1,no obvious source
466155,1,0,0,0,1,0,0,
466156,0,0,0,0,0,0,1,no obvious source
466158,0,0,0,1,0,0,0,
466162,0,1,0,0,0,0,0,
466164,0,0,0,0,0,0,0,
466174,0,0,0,0,0,0,1,no obvious source
466175,0,1,0,0,0,0,0,
466178,0,0,0,0,1,0,0,
466179,0,0,0,0,0,0,1,no obvious source
466183,1,0,0,0,0,0,0,
466184,0,1,0,0,0,0,0,
466186,0,0,1,0,0,0,0,
466187,0,0,1,0,0,0,0,
466190,0,0,0,0,0,0,1,no obvious source
466191,0,1,0,0,0,0,0,
466192,0,0,1,0,0,1,0,
466194,1,0,0,0,0,0,0,
466195,0,0,0,0,0,0,1,no obvious source
466196,0,1,0,1,0,0,0,
466198,0,1,0,1,0,0,0,
466208,0,0,1,0,0,1,0,
466210,1,0,0,0,0,0,0,
466211,0,0,0,0,1,0,0,
466212,0,0,0,0,1,0,0,
470006,0,0,1,0,1,0,0,
470008,0,0,1,0,1,1,0,
470010,0,0,1,0,1,1,0,
470011,0,0,1,0,1,1,0,
470013,0,0,1,0,0,0,0,
470014,0,0,0,0,0,0,0,
470017,0,1,0,0,0,0,0,
470019,1,0,1,0,0,1,0,
470028,0,0,1,0,0,1,0,
470029,0,1,0,0,0,0,0,
470031,0,0,1,0,0,1,0,
470032,0,1,0,0,0,0,0,
470033,0,1,0,0,1,0,0,
470034,0,0,0,0,0,0,0,elongated
470035,0,0,0,0,1,1,0,
470036,1,0,1,0,1,0,0,
470038,0,1,0,0,1,0,0,
470039,0,0,0,0,0,0,0,
470041,0,1,0,0,0,0,0,
470047,0,0,0,0,0,0,0,
470049,0,1,0,0,0,0,0,
470050,0,1,0,0,1,0,0,
470056,0,0,0,0,0,0,1,no obvious source
470057,0,0,0,0,0,0,1,no obvious source
470065,0,0,1,0,1,0,0,
470067,1,1,0,0,1,0,0,
470070,0,1,0,0,0,0,0,
470071,0,0,0,1,0,0,1,no obvious source
470072,0,0,1,0,1,1,0,
470075,0,0,1,0,1,1,0,
470076,0,0,0,0,1,0,0,
470081,0,0,1,0,1,0,0,
470085,0,1,0,0,0,0,0,
470089,0,1,0,1,0,0,0,
470091,0,1,0,1,0,0,0,very off-center
470092,0,0,0,0,1,0,0,
470093,0,0,0,0,1,0,0,
470100,0,1,0,0,0,0,0,
470101,0,1,0,0,0,0,0,
470105,0,0,0,0,0,0,1,no obvious source
470108,0,1,0,0,0,0,0,
470111,0,1,0,0,0,0,0,
470112,0,0,1,0,1,1,0,
470116,0,1,0,0,1,0,0,
470117,0,1,0,0,1,0,0,
470121,1,0,0,0,0,0,1,not sure which one
470129,1,1,0,0,0,0,0,very small and faint
470133,0,1,0,1,0,0,0,
470136,1,1,0,0,0,0,0,
470137,0,0,0,0,0,0,1,not sure which one no obvious
470139,0,0,0,0,0,0,0,
470142,0,1,0,0,1,0,0,
475002,0,1,0,0,1,0,0,
475003,0,0,1,0,1,0,0,
475006,0,1,0,0,0,0,0,
475009,0,0,1,0,0,0,0,
475010,0,1,0,0,1,0,0,
475012,1,0,0,0,0,0,1,
475014,0,1,1,0,1,0,0,
475016,0,0,1,0,1,1,0,
475026,0,1,0,0,1,0,0,
475031,0,1,0,0,0,0,0,
475033,0,1,0,0,1,0,0,
475039,0,0,0,1,0,0,1,no obvious source
475040,1,1,0,0,0,0,0,
475045,0,0,1,0,1,1,0,
475053,0,1,0,0,1,0,0,
475067,1,1,0,0,0,0,0,
475075,0,0,1,0,1,0,0,
475080,0,1,0,1,1,0,0,
475083,0,1,0,0,1,0,0,
475087,0,1,0,0,1,0,0,
475091,0,0,0,0,0,0,1,no obvious source
475097,0,1,0,1,1,0,0,
475101,0,0,0,0,0,0,1,no obvious source
475102,1,1,0,1,0,0,0,no obvious source very off center
475121,1,1,0,0,0,0,0,
