02 16 14.63100,-05 02 15.1400,3.141,3.8,51.2,02 16 14.631,-05 02 15.14,34.0609625,-5.037538888888888
02 16 06.43400,-04 48 12.1500,3.121,3.7,101.1,02 16 06.434,-04 48 12.15,34.026808333333335,-4.803375000000001
02 16 06.05900,-04 50 57.6000,3.124,6.9,63.5,02 16 06.059,-04 50 57.60,34.02524583333333,-4.849333333333333
02 17 47.71600,-04 52 30.2000,3.648,33.6,75.2,02 17 47.716,-04 52 30.20,34.448816666666666,-4.875055555555554
02 18 56.08300,-04 50 59.0300,3.683,4.7,87.3,02 18 56.083,-04 50 59.03,34.73367916666665,-4.8497305555555545
02 17 09.76500,-05 12 29.0300,3.691,8.3,335.6,02 17 09.765,-05 12 29.03,34.2906875,-5.20806388888889
02 18 26.19700,-05 10 03.2800,3.699,19.0,57.7,02 18 26.197,-05 10 03.28,34.60915416666667,-5.167577777777779
02 17 01.03900,-05 07 28.4800,3.686,7.2,161.8,02 17 01.039,-05 07 28.48,34.25432916666667,-5.124577777777779
02 17 13.22300,-04 58 53.2800,3.684,7.9,14.4,02 17 13.223,-04 58 53.28,34.30509583333334,-4.981466666666667
02 19 44.68400,-04 50 55.4100,3.669,21.9,150.0,02 19 44.684,-04 50 55.41,34.936183333333325,-4.848725
02 20 11.52400,-04 50 08.0100,3.644,16.6,95.4,02 20 11.524,-04 50 08.01,35.04801666666667,-4.835558333333335
02 20 30.62500,-04 48 15.3900,3.702,4.7,110.4,02 20 30.625,-04 48 15.39,35.12760416666667,-4.804275
02 19 13.11800,-04 51 59.3000,3.692,14.2,126.4,02 19 13.118,-04 51 59.30,34.80465833333332,-4.866472222222222
02 19 15.36200,-04 55 11.8600,3.672,12.8,67.4,02 19 15.362,-04 55 11.86,34.814008333333334,-4.9199611111111095
02 19 17.31100,-05 07 39.0200,3.693,9.1,92.8,02 19 17.311,-05 07 39.02,34.82212916666666,-5.1275055555555555
02 17 27.71700,-04 44 14.0000,3.683,7.1,63.1,02 17 27.717,-04 44 14.00,34.3654875,-4.737222222222222
02 18 31.37900,-04 43 54.7700,3.724,145.0,48.9,02 18 31.379,-04 43 54.77,34.63074583333332,-4.731880555555554
02 18 40.83900,-04 42 11.5300,3.692,4.7,82.7,02 18 40.839,-04 42 11.53,34.6701625,-4.703202777777777
02 18 13.58600,-04 30 57.1600,3.668,11.5,90.7,02 18 13.586,-04 30 57.16,34.55660833333333,-4.515877777777778
02 18 07.76100,-05 20 48.1100,3.638,28.4,147.9,02 18 07.761,-05 20 48.11,34.532337500000004,-5.3466972222222235
02 18 27.73200,-05 19 47.3300,3.677,14.2,118.9,02 18 27.732,-05 19 47.33,34.61554999999999,-5.329813888888891
02 18 10.00500,-05 18 13.2300,3.684,4.6,134.4,02 18 10.005,-05 18 13.23,34.541687499999995,-5.303675
02 17 43.35800,-05 16 11.8500,3.682,3.3,141.3,02 17 43.358,-05 16 11.85,34.43065833333333,-5.269958333333334
02 18 28.17400,-05 13 06.8900,3.701,3.8,84.1,02 18 28.174,-05 13 06.89,34.61739166666666,-5.218580555555557
02 18 35.19700,-05 35 50.4800,3.671,24.8,129.7,02 18 35.197,-05 35 50.48,34.64665416666667,-5.5973555555555565
02 17 45.39200,-05 27 35.5500,3.648,12.4,61.7,02 17 45.392,-05 27 35.55,34.43913333333333,-5.459875000000001
02 17 14.71500,-05 25 16.1700,3.729,11.6,94.5,02 17 14.715,-05 25 16.17,34.31131250000001,-5.421158333333335
02 16 42.59300,-04 58 55.7700,3.667,8.2,66.3,02 16 42.593,-04 58 55.77,34.177470833333345,-4.982158333333333
02 16 40.68000,-05 01 29.5300,3.699,5.2,19.9,02 16 40.680,-05 01 29.53,34.169500000000006,-5.024869444444447
02 20 12.14500,-04 49 50.6900,5.681,8.0,159.6,02 20 12.145,-04 49 50.69,35.05060416666666,-4.8307472222222225
02 20 13.35900,-04 51 09.3000,5.744,11.5,64.3,02 20 13.359,-04 51 09.30,35.0556625,-4.852583333333332
02 20 21.52200,-04 53 14.9900,5.671,9.6,120.6,02 20 21.522,-04 53 14.99,35.08967500000001,-4.887497222222223
02 20 26.13800,-04 52 34.3000,5.718,18.9,29.2,02 20 26.138,-04 52 34.30,35.10890833333333,-4.876194444444445
02 18 22.61200,-05 33 37.8100,5.65,13.2,133.2,02 18 22.612,-05 33 37.81,34.59421666666666,-5.560502777777779
02 18 19.13400,-05 33 11.6900,5.676,5.7,135.1,02 18 19.134,-05 33 11.69,34.579724999999996,-5.553247222222221
02 18 14.43400,-05 32 49.1200,5.673,17.5,42.7,02 18 14.434,-05 32 49.12,34.560141666666674,-5.546977777777778
02 18 17.35200,-05 32 22.8300,5.644,36.0,855.6,02 18 17.352,-05 32 22.83,34.5723,-5.539675000000001
02 18 23.82400,-05 32 05.3300,5.68,8.2,174.2,02 18 23.824,-05 32 05.33,34.59926666666667,-5.53481388888889
02 17 43.31200,-05 31 35.0100,5.629,28.9,126.1,02 17 43.312,-05 31 35.01,34.430466666666675,-5.526391666666668
02 17 48.47700,-05 31 27.0200,5.69,15.0,81.4,02 17 48.477,-05 31 27.02,34.4519875,-5.524172222222223
02 17 51.15400,-05 30 03.6200,5.712,4.8,21.3,02 17 51.154,-05 30 03.62,34.463141666666665,-5.501005555555554
02 17 45.27000,-05 29 36.1000,5.688,21.3,93.3,02 17 45.270,-05 29 36.10,34.43862499999999,-5.49336111111111
02 17 49.13200,-05 28 54.1800,5.696,16.2,79.3,02 17 49.132,-05 28 54.18,34.45471666666667,-5.481716666666667
02 17 45.03300,-05 28 42.4700,5.751,10.9,61.6,02 17 45.033,-05 28 42.47,34.4376375,-5.478463888888889
02 17 43.35300,-05 28 07.0800,5.685,17.8,122.9,02 17 43.353,-05 28 07.08,34.430637499999996,-5.46863333333333
02 17 50.00500,-05 27 08.1900,5.693,11.9,106.4,02 17 50.005,-05 27 08.19,34.458354166666666,-5.452275
