02 18 50.84900,-04 50 54.6300,3.134,3.0,264.6,02 18 50.849,-04 50 54.63,34.711870833333336,-4.848508333333331
02 17 44.72900,-04 50 32.0300,3.135,6.6,55.9,02 17 44.729,-04 50 32.03,34.43637083333334,-4.842230555555554
02 18 58.20300,-05 12 26.3600,3.147,9.0,62.9,02 18 58.203,-05 12 26.36,34.7425125,-5.2073222222222215
02 17 21.89800,-05 09 12.4400,3.105,14.8,124.8,02 17 21.898,-05 09 12.44,34.34124166666668,-5.1534555555555555
02 18 39.43300,-05 08 27.9800,3.141,3.5,76.3,02 18 39.433,-05 08 27.98,34.66430416666667,-5.141105555555555
02 18 33.60900,-05 04 57.8700,3.129,5.9,47.2,02 18 33.609,-05 04 57.87,34.64003749999999,-5.082741666666665
02 18 06.82600,-05 04 08.8000,3.129,44.4,62.6,02 18 06.826,-05 04 08.80,34.52844166666666,-5.06911111111111
02 18 07.49400,-05 03 49.6200,3.125,3.5,37.6,02 18 07.494,-05 03 49.62,34.531225,-5.0637833333333315
02 17 12.19400,-05 03 37.1100,3.125,3.2,104.3,02 17 12.194,-05 03 37.11,34.30080833333333,-5.060308333333335
02 17 05.51300,-05 03 25.2000,3.152,4.4,41.8,02 17 05.513,-05 03 25.20,34.272970833333325,-5.0569999999999995
02 17 08.74400,-05 02 26.4000,3.136,3.3,39.7,02 17 08.744,-05 02 26.40,34.286433333333335,-5.040666666666665
02 17 27.17300,-05 00 21.7700,3.144,3.5,69.1,02 17 27.173,-05 00 21.77,34.36322083333332,-5.0060472222222225
02 17 00.19400,-04 55 40.3500,3.113,11.7,128.2,02 17 00.194,-04 55 40.35,34.25080833333333,-4.9278749999999985
02 17 43.44700,-04 55 21.8300,3.111,4.2,204.2,02 17 43.447,-04 55 21.83,34.43102916666667,-4.922730555555556
02 18 03.98400,-04 53 31.9800,3.133,2.7,137.2,02 18 03.984,-04 53 31.98,34.51659999999999,-4.892216666666666
02 20 24.72800,-04 52 05.2000,3.105,6.1,86.2,02 20 24.728,-04 52 05.20,35.10303333333334,-4.86811111111111
02 19 09.40100,-04 47 22.1100,3.152,5.2,65.2,02 19 09.401,-04 47 22.11,34.78917083333334,-4.789474999999999
02 19 16.68000,-04 58 38.4000,3.129,9.2,58.4,02 19 16.680,-04 58 38.40,34.81949999999999,-4.977333333333334
02 17 41.88900,-04 43 47.8200,3.106,7.3,114.1,02 17 41.889,-04 43 47.82,34.42453750000001,-4.729949999999998
02 17 27.96100,-04 43 36.4100,3.119,12.9,121.3,02 17 27.961,-04 43 36.41,34.366504166666665,-4.726780555555555
02 17 44.72800,-04 43 29.0100,3.152,4.4,343.0,02 17 44.728,-04 43 29.01,34.436366666666665,-4.724725
02 17 35.59300,-04 42 59.8300,3.102,21.1,135.5,02 17 35.593,-04 42 59.83,34.39830416666667,-4.716619444444445
02 17 42.49500,-04 41 08.6500,3.154,38.8,73.6,02 17 42.495,-04 41 08.65,34.42706250000002,-4.685736111111111
02 17 42.24600,-04 33 20.7400,3.108,8.0,146.8,02 17 42.246,-04 33 20.74,34.42602499999999,-4.555761111111111
02 17 41.98700,-04 31 30.5500,3.123,31.0,18.6,02 17 41.987,-04 31 30.55,34.42494583333332,-4.525152777777775
02 17 54.33700,-04 30 06.4200,3.112,12.4,83.4,02 17 54.337,-04 30 06.42,34.476404166666676,-4.501783333333332
02 17 42.84400,-04 28 58.4200,3.133,4.5,75.9,02 17 42.844,-04 28 58.42,34.42851666666667,-4.482894444444446
02 17 06.06900,-05 16 34.8000,3.106,6.6,148.8,02 17 06.069,-05 16 34.80,34.275287500000005,-5.276333333333332
02 18 18.50600,-05 31 57.7400,3.132,3.4,98.1,02 18 18.506,-05 31 57.74,34.577108333333335,-5.532705555555556
02 18 26.12200,-05 29 45.1900,3.156,18.5,82.3,02 18 26.122,-05 29 45.19,34.60884166666666,-5.495886111111111
02 17 05.40400,-05 27 35.6600,3.133,6.7,88.7,02 17 05.404,-05 27 35.66,34.272516666666675,-5.459905555555556
02 17 57.22700,-05 27 00.8000,3.123,5.9,233.7,02 17 57.227,-05 27 00.80,34.48844583333333,-5.45022222222222
02 17 23.31800,-05 24 49.2500,3.167,7.8,73.4,02 17 23.318,-05 24 49.25,34.347158333333326,-5.413680555555556
02 19 04.13700,-05 19 58.1900,3.125,3.8,42.6,02 19 04.137,-05 19 58.19,34.76723749999999,-5.332830555555555
02 18 41.25900,-05 18 49.7900,3.102,46.5,164.6,02 18 41.259,-05 18 49.79,34.6719125,-5.3138305555555565
02 16 04.41900,-04 49 43.3100,3.125,6.3,85.0,02 16 04.419,-04 49 43.31,34.0184125,-4.828697222222222
02 16 52.77600,-04 56 43.0100,3.13,4.6,137.3,02 16 52.776,-04 56 43.01,34.21990000000001,-4.945280555555556
02 16 27.04800,-05 02 43.9800,3.139,6.3,55.7,02 16 27.048,-05 02 43.98,34.11269999999999,-5.045550000000002
