ID, RA, DEC, Z, EW, CatID
1,53.07320833333333,-27.82802777777778,0.337,98,1,0
2,53.016916666666674,-27.623722222222227,0.977,124,1,0
3,52.94241666666667,-27.9523888888889,0.0,129,1,0
4,53.281708333333334,-27.857472222222217,1.609,153,1,0
5,52.91725000000001,-28.05208333333333,0.0,249,1,0
6,52.894708333333334,-27.939388888888892,3.131,377,1,0
7,53.303,-27.713027777777775,0.0,389,1,0
8,52.962666666666664,-27.954361111111112,0.0,195,1,0
9,53.270250000000004,-27.76525,0.0,97,1,0
10,53.07833333333333,-27.713388888888897,3.116,230,1,0
11,53.336,-27.684527777777774,0.0,104,1,0
12,53.12954166666666,-27.929583333333333,0.663,82,1,0
13,52.97866666666667,-27.855805555555555,3.115,311,1,0
14,53.14104166666667,-27.60972222222222,0.0,266,1,0
15,53.26337499999999,-27.84663888888889,0.0,182,1,0
16,53.11229166666666,-27.691083333333335,3.113,182,1,0
17,52.94420833333333,-27.552166666666665,0.0,82,1,0
18,53.155375,-28.06069444444444,0.0,724,1,0
19,52.956500000000005,-27.78644444444444,0.0,93,1,0
20,53.089583333333344,-28.009833333333333,0.0,389,1,0
21,53.320791666666665,-28.003527777777776,0.0,200,1,0
22,53.055333333333344,-27.724972222222224,3.117,547,1,0
23,53.161833333333334,-27.695611111111113,0.0,140,1,0
24,52.96508333333334,-27.975694444444443,0.0,464,1,0
25,52.89229166666668,-27.70338888888889,0.0,93,1,0
26,53.32745833333333,-27.76177777777778,0.0,423,1,0
27,53.19479166666667,-27.66663888888889,3.112,514,1,0
28,52.94879166666666,-27.80811111111111,0.0,133,1,0
29,53.39279166666667,-27.540166666666668,0.0,252,1,0
30,53.318333333333335,-28.054194444444445,0.0,441,1,0
31,53.252250000000004,-27.947666666666667,0.0,474,1,0
32,53.386208333333336,-27.741194444444446,3.116,291,1,0
33,53.09020833333333,-27.999611111111115,0.0,184,1,0
34,53.2995,-28.003472222222218,0.0,182,1,0
35,53.072750000000006,-27.71275,0.0,2575,1,0
36,52.97170833333334,-27.95222222222221,3.115,335,1,0
37,53.12275,-27.984416666666668,0.0,445,1,0
38,52.92645833333334,-27.968861111111114,0.0,205,1,0
39,52.95983333333333,-27.9861111111111,3.123,258,1,0
40,52.98283333333333,-28.00619444444445,0.0,365,1,0
41,53.213958333333345,-28.041194444444443,0.0,297,1,0
42,52.82825,-27.748944444444444,0.0,450,1,0
43,53.260208333333324,-27.836944444444455,0.0,93,1,0
44,53.35216666666666,-27.545055555555553,0.0,90,1,0
45,53.32879166666667,-27.641222222222222,3.106,161,1,0
46,53.323708333333336,-27.54186111111111,3.13,285,1,0
47,53.03137499999999,-27.55230555555556,0.0,193,1,0
48,52.87770833333333,-27.723666666666666,0.0,200,1,0
49,53.137916666666676,-27.90538888888889,0.0,317,1,0
50,53.19,-27.86963888888889,3.107,611,1,0
51,53.22845833333333,-27.777777777777775,3.132,151,1,0
52,52.949124999999995,-27.750972222222224,3.107,269,1,0
53,53.065749999999994,-27.736166666666676,3.119,252,1,0
54,52.86091666666667,-27.733916666666662,0.0,385,1,0
55,52.964875,-27.779722222222226,3.108,328,1,0
56,53.31041666666666,-27.88302777777777,0.0,155,1,0
57,52.94341666666667,-27.78975,0.0,464,1,0
58,53.13104166666667,-27.72694444444444,0.0,807,1,0
59,53.09904166666667,-27.558305555555553,0.0,191,1,0
60,52.93670833333333,-27.991972222222223,0.0,281,1,0
61,53.053875000000005,-27.747666666666674,3.117,1377,1,0
62,53.18120833333334,-27.635833333333334,3.111,135,1,0
63,52.881083333333336,-27.579777777777778,0.0,587,1,0
64,53.078833333333336,-27.6445,3.122,377,1,0
65,53.05008333333333,-28.037861111111113,0.0,233,1,0
66,53.02108333333333,-27.54477777777778,0.0,121,1,0
67,53.08175000000001,-27.6238611111111,0.0,541,1,0
68,53.36083333333333,-27.713305555555554,0.0,210,1,0
69,53.385916666666674,-27.612833333333338,0.0,514,1,0
70,52.90191666666667,-27.759666666666668,0.0,455,1,0
71,53.236083333333326,-27.83027777777777,3.102,317,1,0
72,53.304958333333325,-27.622555555555554,0.0,188,1,0
73,52.99925,-27.829555555555554,3.12,133,1//2,1
74,53.063,-27.648333333333333,0.0,155,1,0
75,53.102791666666675,-28.03125,0.0,241,1,0
76,53.36745833333333,-27.674111111111106,0.0,165,1,0
77,52.986125,-27.796249999999997,0.0,552,1,0
78,53.33233333333334,-27.639055555555558,0.0,149,1,0
79,53.216250000000024,-27.703305555555556,0.0,106,1,0
80,53.36733333333333,-28.055777777777777,3.122,464,1,0
81,52.95625,-28.027027777777786,0.0,124,1,0
82,53.11225,-27.96780555555556,0.0,198,1,0
83,53.30629166666667,-27.548500000000004,3.118,97,1,0
84,52.931666666666665,-27.9981388888889,0.0,243,1,0
85,53.13854166666665,-27.85758333333333,3.112,151,1,0
86,53.043875,-27.98819444444445,3.122,643,1,0
87,53.222291666666656,-27.944277777777778,0.0,110,1,0
88,53.180958333333336,-27.673083333333338,0.0,593,1,0
89,52.92787500000001,-27.55738888888889,0.0,266,1,0
90,52.87379166666667,-27.836250000000003,0.0,689,1,0
91,53.28920833333334,-27.763833333333334,0.0,129,1,0
92,53.164375,-27.74708333333333,0.0,91,1,0
93,53.120374999999996,-27.703777777777777,3.141,288,1,0
94,53.344500000000004,-27.99358333333333,0.0,98,1,0
95,53.28391666666668,-27.62272222222223,3.113,294,1,0
96,53.36295833333334,-27.54019444444445,0.0,328,1,0
97,52.90241666666667,-27.945805555555555,0.0,288,1,0
98,53.02020833333333,-27.64672222222222,0.0,118,1,0
99,53.29608333333333,-27.547166666666666,0.0,406,1,0
100,52.851875,-27.681388888888893,0.0,220,1,0
101,53.019125,-27.955416666666665,0.0,89,1,0
102,52.890499999999996,-28.02830555555555,0.0,83,1,0
103,53.24991666666666,-27.84063888888889,3.096,165,1,0
104,52.89995833333333,-27.848027777777773,0.0,307,1,0
105,53.302958333333336,-28.02766666666667,0.0,91,1,0
106,53.362500000000004,-27.703111111111106,3.101,167,1,0
