03 33 18.9100,-27 38 28.400,03 33 18.91,-27 38 28.4,-16.271,161,3.106,53.32879166666667,-27.641222222222222
03 33 17.6900,-27 32 30.700,03 33 17.69,-27 32 30.7,-16.279,285,3.13,53.323708333333336,-27.54186111111111
03 32 07.5300,-27 33 08.300,03 32 07.53,-27 33 08.3,-16.291,193,0.0,53.03137499999999,-27.55230555555556
03 31 30.6500,-27 43 25.200,03 31 30.65,-27 43 25.2,-16.291,200,0.0,52.87770833333333,-27.723666666666666
03 32 33.1000,-27 54 19.400,03 32 33.10,-27 54 19.4,-16.295,317,0.0,53.137916666666676,-27.90538888888889
03 32 45.6000,-27 52 10.700,03 32 45.60,-27 52 10.7,-16.299,611,3.107,53.19,-27.86963888888889
03 32 54.8300,-27 46 40.000,03 32 54.83,-27 46 40.0,-16.303,151,3.132,53.22845833333333,-27.777777777777775
03 31 47.7900,-27 45 03.500,03 31 47.79,-27 45 03.5,-16.303,269,3.107,52.949124999999995,-27.750972222222224
03 32 15.7800,-27 44 10.200,03 32 15.78,-27 44 10.2,-16.307,252,3.119,53.065749999999994,-27.736166666666676
03 31 26.6200,-27 44 02.100,03 31 26.62,-27 44 02.1,-16.323,385,0.0,52.86091666666667,-27.733916666666662
03 31 51.5700,-27 46 47.000,03 31 51.57,-27 46 47.0,-16.351,328,3.108,52.964875,-27.779722222222226
03 33 14.5000,-27 52 58.900,03 33 14.50,-27 52 58.9,-16.351,155,0.0,53.31041666666666,-27.88302777777777
03 31 46.4200,-27 47 23.100,03 31 46.42,-27 47 23.1,-16.355,464,0.0,52.94341666666667,-27.78975
03 32 31.4500,-27 43 37.000,03 32 31.45,-27 43 37.0,-16.363,807,0.0,53.13104166666667,-27.72694444444444
03 32 23.7700,-27 33 29.900,03 32 23.77,-27 33 29.9,-16.367,191,0.0,53.09904166666667,-27.558305555555553
03 31 44.8100,-27 59 31.100,03 31 44.81,-27 59 31.1,-16.375,281,0.0,52.93670833333333,-27.991972222222223
03 32 12.9300,-27 44 51.600,03 32 12.93,-27 44 51.6,-16.375,1377,3.117,53.053875000000005,-27.747666666666674
03 32 43.4900,-27 38 09.000,03 32 43.49,-27 38 09.0,-16.379,135,3.111,53.18120833333334,-27.635833333333334
03 31 31.4600,-27 34 47.200,03 31 31.46,-27 34 47.2,-16.383,587,0.0,52.881083333333336,-27.579777777777778
03 32 18.9200,-27 38 40.200,03 32 18.92,-27 38 40.2,-16.383,377,3.122,53.078833333333336,-27.6445
03 32 12.0200,-28 02 16.300,03 32 12.02,-28 02 16.3,-16.391,233,0.0,53.05008333333333,-28.037861111111113
03 32 05.0600,-27 32 41.200,03 32 05.06,-27 32 41.2,-16.399,121,0.0,53.02108333333333,-27.54477777777778
03 32 19.6200,-27 37 25.900,03 32 19.62,-27 37 25.9,-16.415,541,0.0,53.08175000000001,-27.6238611111111
03 33 26.6000,-27 42 47.900,03 33 26.60,-27 42 47.9,-16.415,210,0.0,53.36083333333333,-27.713305555555554
03 33 32.6200,-27 36 46.200,03 33 32.62,-27 36 46.2,-16.419,514,0.0,53.385916666666674,-27.612833333333338
03 31 36.4600,-27 45 34.800,03 31 36.46,-27 45 34.8,-16.419,455,0.0,52.90191666666667,-27.759666666666668
03 32 56.6600,-27 49 49.000,03 32 56.66,-27 49 49.0,-16.419,317,3.102,53.236083333333326,-27.83027777777777
03 33 13.1900,-27 37 21.200,03 33 13.19,-27 37 21.2,-16.423,188,0.0,53.304958333333325,-27.622555555555554
03 31 59.8200,-27 49 46.400,03 31 59.82,-27 49 46.4,-16.427,133,3.12,52.99925,-27.829555555555554
03 32 15.1200,-27 38 54.000,03 32 15.12,-27 38 54.0,-16.427,155,0.0,53.063,-27.648333333333333
03 32 24.6700,-28 01 52.500,03 32 24.67,-28 01 52.5,-16.431,241,0.0,53.102791666666675,-28.03125
03 33 28.1900,-27 40 26.800,03 33 28.19,-27 40 26.8,-16.439,165,0.0,53.36745833333333,-27.674111111111106
03 31 56.6700,-27 47 46.500,03 31 56.67,-27 47 46.5,-16.443,552,0.0,52.986125,-27.796249999999997
03 33 19.7600,-27 38 20.600,03 33 19.76,-27 38 20.6,-16.447,149,0.0,53.33233333333334,-27.639055555555558
03 32 51.9000,-27 42 11.900,03 32 51.90,-27 42 11.9,-16.447,106,0.0,53.216250000000024,-27.703305555555556
03 33 28.1600,-28 03 20.800,03 33 28.16,-28 03 20.8,-16.451,464,3.122,53.36733333333333,-28.055777777777777
03 31 49.5000,-28 01 37.300,03 31 49.50,-28 01 37.3,-16.451,124,0.0,52.95625,-28.027027777777786
03 32 26.9400,-27 58 04.100,03 32 26.94,-27 58 04.1,-16.451,198,0.0,53.11225,-27.96780555555556
03 33 13.5100,-27 32 54.600,03 33 13.51,-27 32 54.6,-16.455,97,3.118,53.30629166666667,-27.548500000000004
03 31 43.6000,-27 59 53.300,03 31 43.60,-27 59 53.3,-16.459,243,0.0,52.931666666666665,-27.9981388888889
