03 32 42.75840,-27 47 24.6880,53.17816,-27.790192,3.3,11.93,41.1,358,53.17816,-27.790191111111113
03 32 40.39607,-27 48 47.6860,53.168316,-27.813246,4.03,14.84,60.0,308,53.168316958333335,-27.81324611111111
03 32 41.90113,-27 46 40.3250,53.174587,-27.777868,3.28,18.95,83.5,223,53.17458804166666,-27.777868055555555
03 32 43.91907,-27 46 49.6560,53.182995,-27.78046,4.38,13.47,58.5,249,53.182996124999995,-27.78045999999999
03 32 35.98200,-27 48 06.2390,53.149925,-27.801733,4.51,15.69,46.2,323,53.149925,-27.801733055555555
03 32 37.46667,-27 47 23.2370,53.156113,-27.789787,3.42,31.97,120.8,256,53.15611112500002,-27.78978805555555
03 32 36.59760,-27 47 51.7490,53.15249,-27.797709,3.01,8.46,27.6,408,53.152489999999986,-27.797708055555557
03 32 39.03867,-27 48 08.2840,53.162663,-27.802301,4.81,15.56,54.9,344,53.16266112499999,-27.80230111111111
03 32 43.15847,-27 48 03.1570,53.17983,-27.800877,4.81,16.1,96.6,253,53.17982695833334,-27.800876944444443
03 32 46.29147,-27 47 12.8260,53.192883,-27.786896,4.39,10.6,53.9,205,53.19288112499999,-27.786896111111112
03 32 39.54387,-27 45 41.5330,53.164764,-27.761538,3.09,12.64,69.6,304,53.16476612499999,-27.761536944444444
03 32 42.30000,-27 48 09.6840,53.17625,-27.80269,3.74,12.18,74.0,314,53.17625,-27.802689999999995
03 32 43.40400,-27 46 26.8460,53.18085,-27.774124,4.47,14.66,59.3,326,53.18085,-27.774123888888887
03 32 43.44147,-27 46 52.0320,53.181007,-27.78112,4.41,8.89,52.6,0,53.181006124999996,-27.78112000000001
03 32 40.17433,-27 46 00.5450,53.167393,-27.766817,4.08,49.28,256.4,263,53.167393041666664,-27.766818055555554
03 32 35.21713,-27 47 15.5330,53.146736,-27.787647,3.56,11.75,72.2,216,53.14673804166667,-27.78764805555555
03 32 36.24913,-27 46 58.3180,53.15104,-27.782866,5.27,8.03,27.9,271,53.15103804166666,-27.78286611111111
03 32 36.98133,-27 47 55.6370,53.15409,-27.798788,3.52,39.39,267.0,0,53.15408887500001,-27.798788055555555
03 32 32.61767,-27 47 54.0850,53.135906,-27.798357,5.78,16.75,32.4,247,53.13590695833334,-27.79835694444444
03 32 36.63267,-27 47 21.6460,53.152637,-27.789347,4.12,22.32,161.9,205,53.15263612500001,-27.789346111111115
03 32 35.70507,-27 46 18.1310,53.14877,-27.771704,2.95,7.78,48.8,298,53.14877112499999,-27.771703055555555
03 32 40.75487,-27 48 12.1070,53.16981,-27.803364,3.45,14.53,133.9,312,53.169811958333334,-27.803363055555558
03 32 40.40113,-27 48 14.8570,53.16834,-27.804127,4.95,9.87,79.6,221,53.168338041666665,-27.80412694444445
03 32 43.30127,-27 46 14.0920,53.180424,-27.77058,5.03,5.07,443.4,223,53.18042195833333,-27.77058111111111
03 32 37.52520,-27 48 34.5200,53.156357,-27.80959,5.05,14.6,287.0,222,53.156355,-27.80958888888889
