02 21 14.2800,-04 31 38.200,3.09,73,16,35.3095,-4.52728,35.3095,-4.527277777777778
02 21 16.2600,-04 29 32.800,2.78,58,8,35.31775,-4.49244,35.31775,-4.492444444444445
02 21 18.4800,-04 27 32.200,2.78,28,6,35.327,-4.45894,35.327,-4.458944444444445
02 21 19.2200,-04 30 39.900,3.32,62,16,35.33008,-4.51108,35.33008333333333,-4.511083333333334
02 21 19.8500,-04 27 43.400,2.78,23,6,35.33271,-4.46206,35.33270833333333,-4.462055555555556
02 21 22.8400,-04 29 25.200,2.77,340,187,35.34517,-4.49033,35.34516666666668,-4.490333333333335
02 21 23.4700,-04 29 09.400,2.55,252,50,35.34779,-4.48594,35.34779166666667,-4.4859444444444465
02 21 27.1500,-04 29 39.200,2.76,47,12,35.36312,-4.49422,35.363125,-4.494222222222223
03 06 34.6100,-00 00 49.600,3.1,16,8,46.64421,-0.01378,46.644208333333324,-0.013777777777777776
03 06 35.5900,+00 00 18.500,3.57,0,0,46.64829,0.00514,46.64829166666666,0.00513888888888889
03 06 38.1200,+00 00 40.000,2.08,139,49,46.65883,0.01111,46.658833333333334,0.011111111111111106
03 06 40.7300,-00 01 32.700,2.25,2213,1548,46.66971,-0.02575,46.66970833333332,-0.025750000000000002
03 06 41.1000,-00 02 48.500,3.25,91,30,46.67125,-0.04681,46.67125,-0.04680555555555556
03 06 44.0200,-00 01 27.400,2.54,0,0,46.68342,-0.02428,46.68341666666666,-0.02427777777777778
03 06 44.1700,+00 00 47.300,3.0,27,9,46.68404,0.01314,46.68404166666666,0.01313888888888889
03 06 44.4400,+00 01 46.700,3.67,16,5,46.68517,0.02964,46.68516666666668,0.029638888888888902
03 06 44.7700,-00 02 49.300,2.26,0,0,46.68654,-0.04703,46.68654166666666,-0.047027777777777786
03 06 46.5500,+00 03 06.800,2.45,322,155,46.69396,0.05189,46.69395833333334,0.051888888888888894
03 06 48.3600,+00 00 17.000,3.01,258,102,46.7015,0.00472,46.701499999999996,0.004722222222222222
03 06 50.1900,-00 02 14.900,3.21,29,8,46.70912,-0.03747,46.70912499999999,-0.037472222222222226
03 06 50.6100,+00 01 39.100,3.18,24,8,46.71087,0.02753,46.71087500000001,0.027527777777777776
03 06 53.6400,-00 02 32.800,3.74,51,27,46.7235,-0.04244,46.723499999999994,-0.042444444444444444
03 06 55.2600,+00 00 33.800,2.83,3338,3038,46.73025,0.00939,46.73025,0.009388888888888888
03 06 55.5200,+00 03 33.600,2.54,48,19,46.73133,0.05933,46.73133333333333,0.059333333333333335
03 06 58.8400,-00 02 34.500,2.58,26,6,46.74517,-0.04292,46.745166666666684,-0.042916666666666686
10 00 05.8300,+02 19 47.200,2.73,270,187,150.02429,2.32978,150.02429166666664,2.3297777777777777
10 00 06.2600,+02 13 10.900,2.18,380,66,150.02608,2.21969,150.02608333333333,2.2196944444444435
10 00 07.1500,+02 14 56.800,2.9,55,13,150.02979,2.24911,150.02979166666668,2.249111111111111
10 00 07.3200,+02 12 45.500,2.71,198,50,150.0305,2.21264,150.03050000000002,2.212638888888889
10 00 07.5900,+02 15 18.400,2.87,148,64,150.03162,2.25511,150.03162500000002,2.2551111111111113
10 00 08.6100,+02 17 38.600,2.43,1306,1732,150.03587,2.29406,150.035875,2.2940555555555555
10 00 08.7300,+02 12 50.000,3.25,76,9,150.03638,2.21389,150.036375,2.21388888888889
10 00 08.9500,+02 17 23.200,2.45,79,42,150.0373,2.28978,150.03729166666665,2.2897777777777786
10 00 09.6900,+02 14 54.900,3.45,238,35,150.04037,2.24858,150.040375,2.248583333333333
10 00 11.0600,+02 12 26.700,3.45,58,45,150.04608,2.20742,150.0460833333333,2.2074166666666666
10 00 12.3300,+02 14 16.000,2.43,114,27,150.05138,2.23778,150.051375,2.237777777777779
10 00 12.4400,+02 17 53.000,2.16,128,82,150.05183,2.29806,150.05183333333332,2.2980555555555555
10 00 12.5700,+02 17 54.600,3.21,51,36,150.05237,2.2985,150.05237499999998,2.2985
10 00 13.1100,+02 18 56.300,2.45,54,32,150.05463,2.31564,150.05462500000002,2.315638888888889
10 00 13.2500,+02 16 49.200,2.28,0,0,150.0552,2.28033,150.05520833333333,2.2803333333333327
10 00 14.1600,+02 14 28.300,2.29,114,13,150.059,2.24119,150.059,2.2411944444444445
10 00 14.6900,+02 16 25.500,2.65,134,27,150.0612,2.27375,150.06120833333333,2.2737499999999993
10 00 14.6900,+02 17 47.400,2.44,160,93,150.0612,2.2965,150.06120833333333,2.2965
10 00 16.4300,+02 20 30.200,2.91,372,174,150.06847,2.34172,150.06845833333333,2.3417222222222223
10 00 16.7100,+02 18 21.500,2.71,97,46,150.06963,2.30597,150.069625,2.305972222222223
10 00 17.0900,+02 16 14.100,3.49,56,20,150.07121,2.27058,150.07120833333332,2.270583333333333
10 00 17.4400,+02 16 59.000,3.3,63,17,150.07268,2.28306,150.07266666666666,2.2830555555555554
10 00 17.4600,+02 19 04.200,3.3,202,102,150.07275,2.31783,150.07274999999996,2.3178333333333323
10 00 18.5600,+02 14 59.800,2.31,373,142,150.07733,2.24994,150.0773333333333,2.2499444444444445
