" ",03 32 48.52,-27 56 05.5,-16.544,642,53.20216666666667,-27.93486111111111
" ",03 32 51.77,-27 37 33.5,-16.56,96,53.215708333333346,-27.625972222222227
" ",03 32 58.15,-27 48 05.0,-16.564,338,53.24229166666667,-27.801388888888887
" ",03 33 25.35,-28 02 46.4,-16.564,138,53.355625,-28.046222222222223
" ",03 33 13.23,-27 37 21.0,-16.58,143,53.305125000000004,-27.6225
" ",03 33 34.23,-27 46 39.7,-16.584,202,53.39262500000001,-27.777694444444446
" ",03 33 07.16,-27 48 51.5,-16.584,229,53.27983333333333,-27.81430555555556
" ",03 32 57.39,-27 55 19.5,-16.584,120,53.239124999999994,-27.922083333333326
" ",03 33 18.60,-27 45 42.7,-16.588,147,53.3275,-27.7618611111111
" ",03 32 59.27,-27 41 15.0,-16.588,237,53.24695833333334,-27.687500000000004
" ",03 31 22.63,-27 52 06.5,-16.596,1697,52.84429166666667,-27.868472222222227
" ",03 31 54.68,-27 52 52.9,-16.6,284,52.97783333333334,-27.881361111111108
" ",03 33 20.85,-27 51 45.7,-16.604,890,53.33687499999998,-27.862694444444443
" ",03 31 58.04,-27 47 30.7,-16.604,96,52.99183333333333,-27.791861111111114
" ",03 33 20.49,-27 36 40.1,-16.608,214,53.335375,-27.61113888888889
" ",03 33 17.72,-27 32 31.1,-16.612,129,53.32383333333333,-27.541972222222228
" ",03 31 47.76,-27 42 16.6,-16.624,206,52.949000000000005,-27.70461111111111
" ",03 31 38.67,-27 45 43.5,-16.624,468,52.91112499999999,-27.762083333333337
" ",03 32 17.39,-27 42 48.4,-16.624,554,53.07245833333332,-27.71344444444445
" ",03 32 59.84,-27 53 05.7,-16.628,183,53.24933333333334,-27.884916666666665
" ",03 33 28.14,-28 03 20.8,-16.628,349,53.36725,-28.055777777777777
" ",03 33 05.01,-27 43 37.2,-16.628,145,53.27087500000001,-27.727000000000007
" ",03 33 08.16,-27 37 21.6,-16.632,235,53.284,-27.62266666666666
" ",03 33 12.03,-27 58 40.3,-16.632,260,53.300124999999994,-27.977861111111114
" ",03 32 14.56,-27 45 52.6,-16.64,384,53.060666666666656,-27.764611111111112
" ",03 31 58.82,-27 49 29.1,-16.64,177,52.99508333333333,-27.824749999999998
" ",03 33 03.32,-27 41 38.7,-16.644,281,53.26383333333334,-27.694083333333335
" ",03 33 13.15,-27 36 48.4,-16.644,293,53.30479166666667,-27.613444444444436
" ",03 32 09.35,-27 43 54.5,-16.648,147,53.038958333333326,-27.731805555555557
" ",03 31 50.00,-27 51 39.6,-16.648,360,52.958333333333336,-27.860999999999994
" ",03 31 48.34,-27 58 47.3,-16.652,426,52.95141666666666,-27.979805555555554
" ",03 32 12.62,-27 48 05.3,-16.656,990,53.05258333333334,-27.80147222222222
" ",03 31 26.64,-27 44 02.2,-16.656,183,52.86100000000001,-27.733944444444447
" ",03 31 40.23,-27 45 27.0,-16.66,108,52.917625,-27.757500000000004
" ",03 31 54.25,-27 58 03.6,-16.664,313,52.97604166666667,-27.96766666666667
" ",03 33 07.76,-27 38 19.0,-16.672,109,53.282333333333334,-27.638611111111107
" ",03 32 57.34,-27 51 42.1,-16.672,360,53.238916666666654,-27.86169444444445
" ",03 33 33.36,-27 44 44.8,-16.672,219,53.389,-27.745777777777775
" ",03 32 05.60,-27 42 43.5,-16.676,540,53.02333333333333,-27.712083333333332
" ",03 33 12.40,-27 45 24.2,-16.676,122,53.30166666666668,-27.75672222222222
" ",03 32 21.31,-27 36 21.2,-16.676,136,53.08879166666667,-27.605888888888895
" ",03 32 10.13,-27 44 28.8,-16.68,435,53.042208333333335,-27.74133333333333
" ",03 32 45.32,-27 34 03.8,-16.684,317,53.188833333333314,-27.56772222222222
" ",03 32 08.60,-27 57 11.9,-16.684,629,53.03583333333334,-27.95330555555556
" ",03 31 42.93,-28 03 07.4,-16.684,164,52.92887499999999,-28.052055555555558
" ",03 33 03.09,-27 36 55.2,-16.684,463,53.26287500000001,-27.615333333333332
" ",03 32 44.09,-27 37 17.6,-16.692,109,53.18370833333333,-27.621555555555553
" ",03 31 35.93,-27 50 52.7,-16.692,224,52.89970833333332,-27.84797222222222
" ",03 32 10.55,-27 59 17.5,-16.692,426,53.043958333333336,-27.98819444444445
" ",03 32 24.65,-28 01 53.2,-16.692,134,53.10270833333334,-28.03144444444445
" ",03 33 37.87,-27 38 38.6,-16.692,1763,53.40779166666667,-27.64405555555556
" ",03 32 12.98,-27 44 52.1,-16.704,730,53.054083333333324,-27.747805555555544
" ",03 33 05.08,-27 37 04.8,-16.712,604,53.27116666666667,-27.617999999999995
" ",03 33 28.79,-28 02 30.4,-16.712,334,53.36995833333334,-28.04177777777777
" ",03 33 33.24,-27 40 04.1,-16.716,98,53.38849999999999,-27.66780555555556
" ",03 33 23.73,-27 44 09.2,-16.716,192,53.34887500000001,-27.73588888888889
" ",03 32 20.47,-27 35 01.3,-16.72,169,53.08529166666667,-27.583694444444447
" ",03 33 27.31,-27 33 11.3,-16.72,473,53.36379166666667,-27.553138888888885
" ",03 31 42.93,-28 03 07.4,-16.724,388,52.92887499999999,-28.052055555555558
" ",03 32 38.98,-27 46 22.3,-16.724,192,53.16241666666667,-27.772861111111112
" ",03 31 44.37,-27 50 57.2,-16.728,216,52.934875,-27.849222222222224
" ",03 33 02.79,-27 57 17.5,-16.732,498,53.261625,-27.95486111111111
" ",03 32 30.60,-28 00 47.8,-16.736,855,53.1275,-28.013277777777787
" ",03 33 15.71,-28 02 19.0,-16.736,752,53.31545833333334,-28.038611111111116
" ",03 33 29.49,-27 58 00.1,-16.74,738,53.372875,-27.966694444444446
" ",03 33 37.07,-27 55 31.9,-16.744,179,53.40445833333333,-27.925527777777774
" ",03 32 10.12,-27 53 03.5,-16.752,158,53.04216666666668,-27.884305555555557
" ",03 31 42.94,-27 45 06.3,-16.752,431,52.92891666666667,-27.751750000000005
" ",03 31 31.59,-27 47 07.6,-16.756,306,52.881625,-27.785444444444444
" ",03 33 31.25,-27 44 36.7,-16.76,272,53.380208333333336,-27.74352777777778
" ",03 32 24.31,-27 41 52.3,-16.76,219,53.101291666666654,-27.6978611111111
" ",03 32 59.95,-27 50 29.2,-16.76,313,53.24979166666666,-27.84144444444445
" ",03 32 54.65,-27 38 54.1,-16.76,730,53.22770833333333,-27.64836111111111
" ",03 32 02.19,-27 43 42.9,-16.768,1191,53.009125000000004,-27.72858333333333
" ",03 33 24.47,-27 44 33.4,-16.768,513,53.351958333333336,-27.74261111111111
" ",03 33 02.07,-27 51 07.7,-16.772,186,53.25862500000001,-27.852138888888888
" ",03 33 38.75,-27 47 02.4,-16.776,388,53.41145833333334,-27.784
" ",03 32 54.65,-27 51 49.3,-16.78,422,53.22770833333333,-27.86369444444445
" ",03 32 47.58,-27 55 38.2,-16.78,275,53.19824999999999,-27.927277777777775
" ",03 32 21.51,-27 36 04.4,-16.78,981,53.089625000000005,-27.601222222222226
" ",03 32 44.15,-27 50 56.9,-16.784,953,53.18395833333333,-27.849138888888895
" ",03 31 44.97,-27 58 28.2,-16.784,219,52.93737499999999,-27.9745
" ",03 32 42.72,-27 39 39.9,-16.788,290,53.17800000000001,-27.66108333333333
" ",03 33 07.04,-27 37 53.1,-16.788,111,53.279333333333334,-27.631416666666663
" ",03 33 16.89,-27 43 53.1,-16.792,124,53.320375,-27.73141666666666
" ",03 32 49.73,-27 46 44.0,-16.792,401,53.207208333333334,-27.77888888888889
